data,model,loss,run_id,N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,path
lm1b,pythia,condcrossent,Run_2025_05_20_19_16_16_517868,10000000,384,80000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_19_16_16_517868/
lm1b,pythia,condcrossent,Run_2025_05_20_19_13_07_612154,10000000,96,320000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_19_13_07_612154/
lm1b,pythia,condcrossent,Run_2025_05_20_19_17_39_748599,10000000,96,320000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_19_17_39_748599/
lm1b,pythia,condcrossent,Run_2025_05_20_20_46_05_249046,10000000,96,80000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_20_46_05_249046/
lm1b,pythia,condcrossent,Run_2025_05_20_20_26_36_375725,32000000,128,75000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_20_26_36_375725/
lm1b,pythia,condcrossent,Run_2025_05_20_20_39_39_090301,10000000,48,160000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_20_39_39_090301/
lm1b,pythia,condcrossent,Run_2025_05_20_21_15_51_065586,64000000,128,37500,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_21_15_51_065586/
lm1b,pythia,condcrossent,Run_2025_05_20_21_22_01_978332,10000000,12,160000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_21_22_01_978332/
lm1b,pythia,condcrossent,Run_2025_05_20_21_06_01_174120,10000000,1536,20000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_21_06_01_174120/
lm1b,pythia,condcrossent,Run_2025_05_20_21_14_19_438780,10000000,768,40000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_21_14_19_438780/
lm1b,pythia,condcrossent,Run_2025_05_20_21_03_09_777764,10000000,192,160000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_21_03_09_777764/
lm1b,pythia,condcrossent,Run_2025_05_20_22_28_01_469470,10000000,384,20000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_22_28_01_469470/
lm1b,pythia,condcrossent,Run_2025_05_20_21_58_45_844485,4000000,128,150000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_21_58_45_844485/
lm1b,pythia,condcrossent,Run_2025_05_20_22_50_35_088383,10000000,96,20000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_22_50_35_088383/
lm1b,pythia,condcrossent,Run_2025_05_20_22_38_17_560934,10000000,192,40000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_22_38_17_560934/
lm1b,pythia,condcrossent,Run_2025_05_20_22_51_22_609499,10000000,96,80000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_22_51_22_609499/
lm1b,pythia,condcrossent,Run_2025_05_20_23_19_13_606827,10000000,24,80000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_23_19_13_606827/
lm1b,pythia,condcrossent,Run_2025_05_20_23_38_34_518751,10000000,6,80000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_23_38_34_518751/
lm1b,pythia,condcrossent,Run_2025_05_20_22_38_56_934211,10000000,384,80000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_22_38_56_934211/
lm1b,pythia,condcrossent,Run_2025_05_20_22_58_00_491789,10000000,3072,10000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_22_58_00_491789/
lm1b,pythia,condcrossent,Run_2025_05_20_23_02_57_059648,10000000,1536,20000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_23_02_57_059648/
lm1b,pythia,condcrossent,Run_2025_05_20_23_56_51_137624,8000000,128,75000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_23_56_51_137624/
lm1b,pythia,condcrossent,Run_2025_05_21_00_17_51_945984,10000000,768,10000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_00_17_51_945984/
lm1b,pythia,condcrossent,Run_2025_05_21_00_38_27_421966,10000000,192,10000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_00_38_27_421966/
lm1b,pythia,condcrossent,Run_2025_05_21_00_26_29_390950,10000000,384,20000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_00_26_29_390950/
lm1b,pythia,condcrossent,Run_2025_05_21_00_30_34_375458,2000000,128,75000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_00_30_34_375458/
lm1b,pythia,condcrossent,Run_2025_05_21_00_49_07_514772,10000000,96,20000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_00_49_07_514772/
lm1b,pythia,condcrossent,Run_2025_05_21_00_55_10_346001,10000000,192,40000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_00_55_10_346001/
lm1b,pythia,condcrossent,Run_2025_05_20_23_30_08_736122,10000000,96,320000,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_20_23_30_08_736122/
lm1b,pythia,condcrossent,Run_2025_05_21_00_06_27_216422,10000000,768,40000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_00_06_27_216422/
lm1b,pythia,condcrossent,Run_2025_05_21_01_20_05_742418,10000000,48,40000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_01_20_05_742418/
lm1b,pythia,condcrossent,Run_2025_05_21_01_31_22_770993,10000000,12,40000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_01_31_22_770993/
lm1b,pythia,condcrossent,Run_2025_05_21_01_41_03_264793,16000000,128,37500,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_01_41_03_264793/
lm1b,pythia,condcrossent,Run_2025_05_21_02_00_15_456254,4000000,128,37500,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_02_00_15_456254/
lm1b,pythia,condcrossent,Run_2025_05_21_00_56_27_152804,10000000,3072,10000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_00_56_27_152804/
lm1b,pythia,condcrossent,Run_2025_05_21_02_14_04_809559,10000000,384,20000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_02_14_04_809559/
lm1b,pythia,condcrossent,Run_2025_05_21_02_19_04_926348,10000000,768,10000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_02_19_04_926348/
lm1b,pythia,condcrossent,Run_2025_05_21_02_36_55_787575,10000000,96,20000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_02_36_55_787575/
lm1b,pythia,condcrossent,Run_2025_05_21_02_40_13_589942,10000000,192,10000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_02_40_13_589942/
lm1b,pythia,condcrossent,Run_2025_05_21_01_27_59_679901,10000000,1536,20000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_01_27_59_679901/
lm1b,pythia,condcrossent,Run_2025_05_21_02_44_25_945577,10000000,24,20000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_02_44_25_945577/
lm1b,pythia,condcrossent,Run_2025_05_21_01_23_24_112516,10000000,192,160000,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_01_23_24_112516/
lm1b,pythia,condcrossent,Run_2025_05_21_03_11_33_527201,10000000,768,10000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_03_11_33_527201/
lm1b,pythia,condcrossent,Run_2025_05_21_03_32_56_126476,10000000,192,10000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_03_32_56_126476/
lm1b,pythia,condcrossent,Run_2025_05_21_03_39_28_452965,10000000,48,10000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_03_39_28_452965/
lm1b,pythia,condcrossent,Run_2025_05_21_02_49_29_045381,10000000,3072,10000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_02_49_29_045381/
lm1b,pythia,condcrossent,Run_2025_05_21_03_56_12_584469,10000000,1536,5000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_03_56_12_584469/
lm1b,pythia,condcrossent,Run_2025_05_21_04_17_49_949676,10000000,384,5000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_04_17_49_949676/
lm1b,pythia,condcrossent,Run_2025_05_21_04_23_52_849995,10000000,96,5000,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_04_23_52_849995/
lm1b,pythia,condcrossent,Run_2025_05_21_03_01_09_817453,10000000,384,80000,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_03_01_09_817453/
lm1b,pythia,condcrossent,Run_2025_05_21_04_33_34_492951,10000000,96,80000,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_04_33_34_492951/
lm1b,pythia,condcrossent,Run_2025_05_21_05_01_45_788009,10000000,768,40000,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_05_01_45_788009/
lm1b,pythia,condcrossent,Run_2025_05_21_06_28_57_846153,10000000,192,40000,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_06_28_57_846153/
lm1b,pythia,condcrossent,Run_2025_05_21_06_53_15_964960,10000000,1536,20000,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_06_53_15_964960/
lm1b,pythia,condcrossent,Run_2025_05_21_08_26_17_211955,10000000,384,20000,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_08_26_17_211955/
lm1b,pythia,condcrossent,Run_2025_05_21_08_48_42_354113,10000000,96,20000,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_08_48_42_354113/
lm1b,pythia,condcrossent,Run_2025_05_21_08_55_54_612220,10000000,3072,10000,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_08_55_54_612220/
lm1b,pythia,condcrossent,Run_2025_05_21_10_27_09_984672,10000000,768,10000,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_10_27_09_984672/
lm1b,pythia,condcrossent,Run_2025_05_21_10_48_05_914308,10000000,192,10000,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_10_48_05_914308/
lm1b,pythia,condcrossent,Run_2025_05_21_14_10_16_627949,10000000,1536,5000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_14_10_16_627949/
lm1b,pythia,condcrossent,Run_2025_05_21_14_13_22_494409,10000000,1536,5000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_14_13_22_494409/
lm1b,pythia,condcrossent,Run_2025_05_21_14_16_12_110238,10000000,1536,5000,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_14_16_12_110238/
lm1b,pythia,condcrossent,Run_2025_05_21_14_31_46_416939,10000000,384,5000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_14_31_46_416939/
lm1b,pythia,condcrossent,Run_2025_05_21_14_37_52_337586,10000000,96,5000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_14_37_52_337586/
lm1b,pythia,condcrossent,Run_2025_05_21_14_37_16_333277,10000000,384,5000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_14_37_16_333277/
lm1b,pythia,condcrossent,Run_2025_05_21_14_37_21_924752,10000000,384,5000,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_14_37_21_924752/
lm1b,pythia,condcrossent,Run_2025_05_21_14_43_09_356277,10000000,96,5000,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_14_43_09_356277/
lm1b,pythia,condcrossent,Run_2025_05_21_14_43_08_815190,10000000,96,5000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_21_14_43_08_815190/
m1b,pythia,condcrossent,Run_2025_05_22_00_18_15_259525,10000000,24,320000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_22_00_18_15_259525/
lm1b,pythia,condcrossent,Run_2025_05_22_01_41_22_796110,10000000,6,320000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_22_01_41_22_796110/
lm1b,pythia,condcrossent,Run_2025_05_22_02_57_21_941086,10000000,12,640000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_22_02_57_21_941086/
lm1b,pythia,condcrossent,Run_2025_05_22_05_32_41_206743,10000000,6,1280000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_22_05_32_41_206743/
lm1b,pythia,condcrossent,Run_2025_05_22_17_43_35_123888,10000000,48,640000,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_22_17_43_35_123888/
lm1b,pythia,condcrossent,Run_2025_05_23_15_03_51_476630,10000000,96,320000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_15_03_51_476630/
lm1b,pythia,condcrossent,Run_2025_05_23_17_54_31_178347,10000000,3072,2500,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_17_54_31_178347/
lm1b,pythia,condcrossent,Run_2025_05_23_18_00_13_217064,10000000,3072,2500,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_00_13_217064/
lm1b,pythia,condcrossent,Run_2025_05_23_18_15_48_394321,10000000,768,2500,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_15_48_394321/
lm1b,pythia,condcrossent,Run_2025_05_23_18_21_38_923660,10000000,192,2500,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_21_38_923660/
lm1b,pythia,condcrossent,Run_2025_05_23_18_23_34_617698,10000000,384,1250,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_23_34_617698/
lm1b,pythia,condcrossent,Run_2025_05_23_18_21_15_974618,10000000,768,2500,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_21_15_974618/
lm1b,pythia,condcrossent,Run_2025_05_23_18_25_24_093454,10000000,768,625,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_25_24_093454/
lm1b,pythia,condcrossent,Run_2025_05_23_18_26_58_306618,10000000,192,2500,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_26_58_306618/
lm1b,pythia,condcrossent,Run_2025_05_23_18_29_27_417238,10000000,384,1250,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_29_27_417238/
lm1b,pythia,condcrossent,Run_2025_05_23_18_31_18_542342,10000000,768,625,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_31_18_542342/
lm1b,pythia,condcrossent,Run_2025_05_23_18_18_50_688275,10000000,3072,2500,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_18_50_688275/
lm1b,pythia,condcrossent,Run_2025_05_23_17_02_10_116637,10000000,192,160000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_17_02_10_116637/
lm1b,pythia,condcrossent,Run_2025_05_23_18_39_13_545910,10000000,768,2500,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_39_13_545910/
lm1b,pythia,condcrossent,Run_2025_05_23_18_44_47_268879,10000000,192,2500,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_44_47_268879/
lm1b,pythia,condcrossent,Run_2025_05_23_18_47_07_065989,10000000,384,1250,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_47_07_065989/
lm1b,pythia,condcrossent,Run_2025_05_23_18_48_55_835630,10000000,768,625,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_48_55_835630/
lm1b,pythia,condcrossent,Run_2025_05_23_18_33_06_827942,128000000,128,18750,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_33_06_827942/
lm1b,pythia,condcrossent,Run_2025_05_23_15_28_53_831669,10000000,24,320000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_15_28_53_831669/
lm1b,pythia,condcrossent,Run_2025_05_23_18_50_39_723603,10000000,3072,2500,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_50_39_723603/
lm1b,pythia,condcrossent,Run_2025_05_23_18_56_43_718824,256000000,128,9375,1.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_56_43_718824/
lm1b,pythia,condcrossent,Run_2025_05_23_19_11_06_753044,10000000,768,2500,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_19_11_06_753044/
lm1b,pythia,condcrossent,Run_2025_05_23_19_16_38_378307,10000000,192,2500,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_19_16_38_378307/
lm1b,pythia,condcrossent,Run_2025_05_23_19_18_58_626581,10000000,384,1250,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_19_18_58_626581/
lm1b,pythia,condcrossent,Run_2025_05_23_19_20_46_666026,10000000,768,625,0.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_19_20_46_666026/
lm1b,pythia,condcrossent,Run_2025_05_23_18_40_34_309322,10000000,384,80000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_18_40_34_309322/
lm1b,pythia,condcrossent,Run_2025_05_23_20_12_18_636452,10000000,96,80000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_20_12_18_636452/
lm1b,pythia,condcrossent,Run_2025_05_23_19_25_54_986853,10000000,768,40000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_19_25_54_986853/
lm1b,pythia,condcrossent,Run_2025_05_23_20_50_27_849922,10000000,192,40000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_20_50_27_849922/
lm1b,pythia,condcrossent,Run_2025_05_23_20_39_31_952683,10000000,768,40000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_20_39_31_952683/
lm1b,pythia,condcrossent,Run_2025_05_23_19_03_13_841112,10000000,6,320000,3.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_19_03_13_841112/
lm1b,pythia,condcrossent,Run_2025_05_23_21_15_09_073368,10000000,1536,20000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_21_15_09_073368/
lm1b,pythia,condcrossent,Run_2025_05_23_22_39_34_774284,10000000,384,20000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_22_39_34_774284/
lm1b,pythia,condcrossent,Run_2025_05_23_23_02_39_995778,10000000,96,20000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_23_02_39_995778/
lm1b,pythia,condcrossent,Run_2025_05_23_19_33_26_809989,10000000,24,320000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_19_33_26_809989/
lm1b,pythia,condcrossent,Run_2025_05_23_19_33_43_753375,10000000,24,320000,0.5,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_19_33_43_753375/
lm1b,pythia,condcrossent,Run_2025_05_23_22_02_05_054615,10000000,1536,20000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_22_02_05_054615/
lm1b,pythia,condcrossent,Run_2025_05_23_23_10_01_209901,10000000,3072,10000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_23_10_01_209901/
lm1b,pythia,condcrossent,Run_2025_05_23_23_24_43_846416,10000000,3072,10000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_23_23_24_43_846416/
lm1b,pythia,condcrossent,Run_2025_05_24_00_35_30_567719,10000000,768,10000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_24_00_35_30_567719/
lm1b,pythia,condcrossent,Run_2025_05_24_00_56_46_574980,10000000,192,10000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_24_00_56_46_574980/
lm1b,pythia,condcrossent,Run_2025_05_24_00_51_03_583564,10000000,768,10000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_24_00_51_03_583564/
lm1b,pythia,condcrossent,Run_2025_05_24_01_03_18_344448,10000000,1536,5000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_24_01_03_18_344448/
lm1b,pythia,condcrossent,Run_2025_05_24_01_24_46_016626,10000000,384,5000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_24_01_24_46_016626/
lm1b,pythia,condcrossent,Run_2025_05_24_01_30_45_576990,10000000,96,5000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_24_01_30_45_576990/
lm1b,pythia,condcrossent,Run_2025_05_24_01_11_51_207369,10000000,1536,5000,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_24_01_11_51_207369/
lm1b,pythia,condcrossent,Run_2025_05_24_01_32_55_492158,10000000,3072,2500,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_24_01_32_55_492158/
lm1b,pythia,condcrossent,Run_2025_05_24_01_33_28_898057,10000000,3072,2500,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_24_01_33_28_898057/
lm1b,pythia,condcrossent,Run_2025_05_24_01_53_48_850292,10000000,768,2500,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_24_01_53_48_850292/
lm1b,pythia,condcrossent,Run_2025_05_24_01_55_39_564475,10000000,768,2500,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_24_01_55_39_564475/
lm1b,pythia,condcrossent,Run_2025_05_24_01_59_28_423133,10000000,192,2500,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_24_01_59_28_423133/
lm1b,pythia,condcrossent,Run_2025_05_24_02_01_10_958795,10000000,192,2500,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_24_02_01_10_958795/
lm1b,pythia,condcrossent,Run_2025_05_24_02_01_23_412187,10000000,384,1250,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_24_02_01_23_412187/
lm1b,pythia,condcrossent,Run_2025_05_24_02_03_01_240001,10000000,384,1250,7.999,0.1,0.0,constant,sgd,na,outputs/nn_archive/runs/Run_2025_05_24_02_03_01_240001/
